crop,soil_type,season,irrigation_type,ph_min,ph_max,n_required,p_required,k_required,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,climate_score,risk_score,fertilizer_cost_per_kg_n,fertilizer_cost_per_kg_p,fertilizer_cost_per_kg_k
Maize,Clay,Rabi,Rainfed,5.9,7.1,142,89,76,3.46,35838,16217,86,26,6.93,33.62,17.68
Tomato,Loamy,Rabi,Drip,6.1,6.6,185,108,101,32.62,83516,10296,73,25,8.27,23.08,15.82
Groundnut,Loamy,Kharif,Rainfed,6.4,7.6,70,87,76,1.33,47629,60653,66,47,7.06,23.06,15.56
Tomato,Black,Zaid,Rainfed,6.1,7.8,231,104,112,21.23,74184,10640,64,24,7.03,28.46,24.08
Wheat,Clay,Rabi,Sprinkler,6.1,7.3,137,64,50,2.7,39758,20599,71,35,5.53,32.66,15.03
Maize,Red,Rabi,Canal,6.0,7.2,159,82,52,4.54,28751,19903,95,43,5.51,30.78,22.44
Potato,Red,Zaid,Canal,6.4,7.3,214,92,81,29.49,48899,17926,86,20,6.57,23.05,20.65
Sugarcane,Loamy,Rabi,Sprinkler,5.7,6.6,291,90,80,48.17,97813,3081,92,46,8.08,27.63,27.37
Potato,Loamy,Kharif,Canal,6.1,6.5,259,109,134,25.51,50904,17117,63,54,6.46,28.22,24.34
Maize,Black,Rabi,Rainfed,6.2,7.5,157,80,78,3.17,37873,15501,84,40,6.0,30.51,19.77
Cotton,Sandy,Zaid,Rainfed,6.5,6.5,186,83,80,3.32,53288,58876,70,26,6.91,32.26,18.69
Capsicum,Black,Rabi,Sprinkler,5.9,7.7,236,91,83,12.95,110392,33615,80,32,8.25,20.13,23.39
Soybean,Sandy,Zaid,Canal,6.3,6.8,84,91,55,1.78,29376,50445,84,44,6.44,32.35,18.21
Maize,Clay,Kharif,Sprinkler,6.4,7.0,125,90,41,3.61,37393,19545,77,56,6.31,25.05,27.01
Maize,Black,Zaid,Drip,6.5,7.8,178,65,45,4.37,29003,15546,91,42,8.37,27.9,22.06
Sugarcane,Black,Rabi,Canal,5.8,7.5,246,93,88,48.03,89101,3418,66,52,7.34,34.86,24.5
Maize,Loamy,Zaid,Drip,6.1,7.5,176,57,69,4.02,44731,21074,91,29,7.43,25.81,19.17
Sugarcane,Black,Kharif,Drip,5.8,7.3,220,94,97,28.09,73221,3158,93,39,5.01,20.09,23.77
Wheat,Clay,Rabi,Canal,5.6,6.9,93,59,49,3.39,48509,22366,64,33,5.84,25.73,25.53
Soybean,Black,Rabi,Drip,5.5,6.5,58,77,77,2.48,43785,53355,85,51,6.08,33.01,26.26
Sugarcane,Clay,Zaid,Sprinkler,6.3,7.2,286,139,127,56.02,61814,3694,66,59,8.3,33.23,23.26
Rice,Clay,Rabi,Rainfed,5.9,7.5,113,52,60,2.7,52522,16510,88,48,8.07,24.62,26.75
Tomato,Black,Kharif,Canal,5.9,6.9,218,84,88,34.54,87416,14456,75,21,7.56,21.54,23.27
Maize,Red,Kharif,Drip,5.7,6.8,168,61,64,5.95,37146,17282,80,48,7.83,30.18,16.34
Cotton,Red,Kharif,Drip,6.1,7.4,164,82,93,3.54,47992,61573,68,54,5.15,26.52,22.47
Tomato,Clay,Zaid,Drip,5.9,7.1,228,77,110,21.14,53605,12624,83,46,5.77,21.15,20.05
Soybean,Loamy,Kharif,Rainfed,5.7,7.3,78,98,53,2.5,41686,54818,63,42,7.08,34.7,23.15
Rice,Loamy,Rabi,Rainfed,6.2,7.3,148,67,75,2.66,56821,16765,78,50,7.84,30.2,29.36
Tomato,Clay,Zaid,Sprinkler,5.6,7.7,185,97,85,19.02,57827,14268,95,35,5.16,28.54,19.06
Maize,Loamy,Kharif,Sprinkler,5.7,7.1,171,76,61,4.26,43924,17610,66,59,5.27,30.44,28.48
Tomato,Clay,Rabi,Canal,5.7,6.9,170,109,103,33.67,83531,12899,84,39,5.38,32.03,24.38
Rice,Black,Kharif,Rainfed,6.3,6.7,149,51,63,4.86,35994,18454,64,56,8.55,32.76,23.43
Soybean,Red,Rabi,Rainfed,6.0,7.3,59,65,75,2.89,25997,43754,83,49,8.07,29.9,25.44
Soybean,Black,Zaid,Sprinkler,6.3,6.7,66,84,54,2.58,37522,44346,78,55,8.85,28.81,24.47
Sugarcane,Black,Zaid,Rainfed,6.4,6.9,207,105,93,45.4,84696,3787,88,54,6.98,34.74,22.7
Maize,Clay,Rabi,Drip,6.4,7.7,167,74,62,3.75,47009,20077,72,48,8.27,33.28,16.31
Groundnut,Black,Kharif,Rainfed,5.7,7.0,61,88,82,1.22,49911,57758,81,57,6.18,33.17,26.58
Soybean,Black,Kharif,Sprinkler,6.0,6.8,64,80,48,2.67,26322,52345,62,21,5.04,34.88,20.36
Tomato,Red,Kharif,Sprinkler,6.0,7.5,174,100,101,37.64,50639,16131,85,51,8.45,28.19,27.82
Groundnut,Black,Zaid,Sprinkler,6.5,7.2,60,82,95,1.76,42804,61308,77,39,6.84,20.92,29.03
Cotton,Red,Zaid,Drip,5.5,7.4,187,74,99,3.05,62728,70798,88,44,7.42,33.91,15.43
Maize,Sandy,Rabi,Drip,5.8,7.5,173,77,54,3.62,29721,14839,66,23,8.78,21.92,28.14
Soybean,Clay,Rabi,Canal,6.0,7.0,56,80,52,1.59,39197,44444,84,29,6.98,22.57,21.56
Groundnut,Red,Kharif,Sprinkler,5.7,6.6,62,70,97,2.84,43744,40299,75,25,8.53,23.49,15.95
Rice,Clay,Zaid,Rainfed,5.9,6.8,122,41,65,2.53,42153,18791,60,39,8.56,30.89,25.9
Rice,Loamy,Zaid,Canal,5.8,6.6,116,45,61,3.22,40708,21861,67,22,6.88,23.23,28.52
Groundnut,Clay,Zaid,Rainfed,6.3,6.6,43,86,76,2.67,47842,64363,61,57,7.27,29.69,21.65
Cotton,Loamy,Rabi,Drip,6.0,7.1,150,100,67,2.61,57786,69975,89,29,7.71,32.51,19.04
Maize,Red,Kharif,Drip,5.8,6.6,124,67,60,4.41,44340,19904,89,30,5.94,33.9,18.23
Capsicum,Black,Zaid,Rainfed,6.3,7.7,225,83,136,22.94,97004,20457,86,46,5.68,34.49,28.37
Potato,Sandy,Zaid,Drip,5.6,7.3,205,109,131,28.34,63351,17306,66,52,8.22,26.12,29.07
Groundnut,Black,Kharif,Drip,5.8,7.8,41,100,70,2.32,40030,40270,83,38,7.64,34.39,21.73
Soybean,Loamy,Zaid,Drip,5.9,6.5,57,93,79,2.4,36017,36039,85,34,5.51,26.57,19.81
Groundnut,Black,Zaid,Drip,6.5,6.9,44,99,87,2.3,39112,52883,84,25,8.79,34.06,20.04
Sugarcane,Black,Rabi,Sprinkler,5.9,6.9,218,140,97,37.14,63443,3687,63,29,6.11,27.28,29.47
Cotton,Red,Kharif,Drip,6.4,7.3,142,74,65,3.24,67173,64677,67,23,8.02,26.1,25.98
Sugarcane,Red,Zaid,Drip,6.3,7.0,225,120,110,36.32,71046,3823,76,54,6.94,28.38,25.46
Groundnut,Loamy,Kharif,Canal,5.9,7.7,80,65,74,2.16,38492,53617,74,45,7.57,29.28,15.38
Capsicum,Sandy,Zaid,Canal,6.3,6.9,189,136,95,10.45,93286,39308,86,49,8.74,22.06,24.89
Wheat,Clay,Rabi,Sprinkler,5.6,7.0,96,64,56,4.37,37937,18754,92,40,5.61,32.63,26.38
Cotton,Black,Rabi,Sprinkler,6.3,7.4,174,100,72,2.58,61680,59281,84,60,5.44,34.35,19.84
Wheat,Clay,Kharif,Sprinkler,5.6,6.7,127,49,54,2.97,49494,24377,89,28,6.87,26.92,17.0
Potato,Red,Kharif,Sprinkler,6.2,6.8,250,135,104,13.98,48298,13629,71,43,5.39,26.08,26.42
Groundnut,Loamy,Zaid,Sprinkler,5.6,7.0,68,93,76,2.99,38448,44066,70,45,7.76,23.86,28.35
Rice,Sandy,Zaid,Rainfed,5.6,7.5,128,63,43,5.33,56330,22498,81,39,7.95,32.81,24.36
Potato,Sandy,Kharif,Sprinkler,6.5,7.7,214,138,115,28.05,71437,19607,93,23,7.47,34.2,19.92
Wheat,Loamy,Zaid,Rainfed,6.2,7.3,135,45,57,4.33,31385,23642,88,45,7.94,31.2,28.54
Cotton,Sandy,Kharif,Rainfed,5.8,6.6,188,82,93,3.38,58388,70383,90,40,7.41,24.91,24.74
Tomato,Red,Rabi,Sprinkler,5.9,7.3,188,88,100,33.1,53006,16865,63,43,5.36,28.19,26.82
Wheat,Sandy,Rabi,Sprinkler,6.0,6.6,140,44,56,2.98,32077,22783,70,24,8.21,30.17,15.61
Groundnut,Red,Zaid,Canal,5.8,6.6,57,66,80,2.29,31286,46755,95,27,8.04,25.18,28.72
Tomato,Sandy,Kharif,Rainfed,6.1,7.7,198,100,98,36.33,69607,8484,61,57,5.47,26.62,16.54
Groundnut,Red,Rabi,Canal,5.9,7.2,71,99,81,1.7,49040,41338,91,31,7.21,33.76,24.02
Cotton,Loamy,Zaid,Sprinkler,5.9,7.4,193,92,75,3.85,51833,65988,63,23,6.0,27.41,19.49
Groundnut,Red,Rabi,Drip,5.9,6.6,76,66,71,1.73,34236,40498,61,37,5.76,32.74,26.49
Sugarcane,Clay,Rabi,Sprinkler,5.5,7.5,266,84,111,27.69,66710,4160,92,37,8.26,30.37,22.57
Groundnut,Loamy,Kharif,Rainfed,5.8,7.1,75,72,82,2.77,46251,64301,70,41,8.65,22.33,28.96
Maize,Loamy,Rabi,Drip,6.2,6.5,180,82,62,5.25,41168,20327,64,60,7.71,24.37,19.13
Soybean,Clay,Rabi,Rainfed,6.0,6.6,76,95,79,1.67,30670,42911,85,49,5.31,21.56,29.17
Sugarcane,Clay,Kharif,Rainfed,5.7,7.1,226,126,121,39.44,67326,3115,74,58,6.78,21.58,25.04
Potato,Loamy,Zaid,Drip,6.4,7.0,184,86,121,21.43,78103,17535,67,21,7.19,21.73,26.85
Tomato,Black,Rabi,Sprinkler,5.8,6.6,215,110,117,39.77,88486,14812,68,58,6.3,23.16,20.02
Cotton,Loamy,Kharif,Sprinkler,6.0,7.0,167,72,83,2.75,55903,54002,60,47,5.92,26.74,16.67
Potato,Black,Rabi,Sprinkler,5.5,7.4,194,124,105,15.33,50796,12058,62,31,5.61,32.57,19.38
Soybean,Loamy,Zaid,Sprinkler,6.1,7.7,79,84,78,2.75,42202,46826,90,29,6.37,25.68,29.22
Capsicum,Loamy,Rabi,Sprinkler,6.3,7.3,228,86,124,28.31,107411,21127,72,24,7.89,21.01,23.48
Groundnut,Clay,Zaid,Sprinkler,5.9,6.8,77,97,91,1.92,33182,49619,75,59,7.29,34.64,22.0
Tomato,Loamy,Zaid,Drip,5.6,7.5,199,79,93,24.48,63552,12413,74,56,8.75,22.04,27.04
Capsicum,Black,Rabi,Canal,5.5,7.6,220,110,95,23.51,83740,40605,72,25,8.59,32.71,24.79
Tomato,Loamy,Rabi,Sprinkler,6.3,7.1,231,99,110,19.06,52981,15027,90,28,6.23,24.04,28.05
Tomato,Black,Rabi,Canal,6.1,7.5,162,115,117,31.52,68656,9514,78,29,6.51,27.13,27.32
Potato,Black,Rabi,Sprinkler,6.5,7.8,184,95,93,24.56,79633,12126,79,51,7.76,28.53,15.27
Maize,Sandy,Kharif,Sprinkler,6.2,6.8,127,60,55,6.76,34682,18595,93,54,5.75,22.34,23.98
Rice,Clay,Rabi,Sprinkler,6.5,6.7,140,63,77,4.71,59767,19175,87,49,5.67,29.28,18.44
Maize,Black,Kharif,Drip,5.7,6.7,120,54,69,5.47,42393,14704,92,43,8.94,20.1,24.7
Tomato,Black,Rabi,Drip,6.2,7.5,210,91,76,33.47,88419,9736,90,23,6.87,30.11,26.28
Wheat,Sandy,Rabi,Sprinkler,5.6,7.6,124,45,60,3.56,48036,20482,64,29,5.42,29.32,23.42
Maize,Clay,Kharif,Drip,6.3,7.4,148,54,43,4.43,41820,16501,62,20,5.6,23.94,17.17
Soybean,Sandy,Zaid,Sprinkler,6.1,7.3,86,61,70,1.55,25213,53119,95,39,7.69,27.58,28.99
Tomato,Black,Kharif,Rainfed,5.6,7.5,166,102,82,30.4,72285,10614,79,37,8.25,22.14,17.4
Groundnut,Red,Zaid,Rainfed,5.7,6.9,68,79,91,1.69,33934,42741,84,45,6.0,22.36,18.16
Maize,Black,Rabi,Rainfed,5.7,7.4,148,65,75,3.97,36506,18697,75,40,7.62,34.07,15.33
Potato,Sandy,Kharif,Canal,6.1,7.2,192,115,94,16.88,61423,12679,62,23,7.52,21.19,28.58
Potato,Clay,Rabi,Rainfed,5.8,6.5,232,111,106,28.49,68018,18369,80,53,7.69,25.2,27.89
Wheat,Black,Kharif,Rainfed,6.1,7.2,122,58,70,3.29,49791,22738,76,53,5.96,28.86,29.8
Tomato,Sandy,Rabi,Rainfed,6.3,7.4,239,109,86,32.09,82107,13494,79,46,8.9,22.82,16.76
Cotton,Clay,Rabi,Drip,6.0,7.5,176,83,94,1.65,66527,71722,60,23,6.9,28.48,24.49
Groundnut,Sandy,Kharif,Rainfed,6.2,7.0,74,96,82,1.29,40629,63482,76,60,6.6,28.22,25.75
Sugarcane,Clay,Rabi,Drip,5.7,7.2,288,129,98,55.97,79918,3705,84,55,5.37,29.78,22.33
Cotton,Sandy,Zaid,Canal,6.1,6.7,151,73,62,1.97,67089,77017,75,23,8.49,33.45,16.8
Cotton,Loamy,Zaid,Sprinkler,6.4,7.6,144,67,95,2.16,65611,50496,64,31,8.36,28.78,27.42
Rice,Loamy,Kharif,Canal,5.6,7.0,116,67,58,3.22,38266,18287,69,35,5.39,27.66,16.11
Sugarcane,Red,Kharif,Drip,6.0,6.7,231,96,107,28.52,72769,3050,67,39,8.47,23.71,26.44
Groundnut,Sandy,Kharif,Sprinkler,5.5,7.3,45,82,80,2.67,46304,50067,71,27,8.01,21.54,18.37
Rice,Sandy,Rabi,Sprinkler,6.1,7.6,141,48,72,4.2,37034,16436,93,22,5.21,26.23,24.24
Rice,Loamy,Kharif,Rainfed,6.4,7.6,147,58,55,4.91,41958,19091,66,36,8.73,22.58,24.71
Potato,Sandy,Zaid,Sprinkler,5.5,6.8,259,111,110,22.45,54777,13308,82,31,6.79,32.15,27.47
Sugarcane,Sandy,Zaid,Canal,5.9,7.8,200,80,106,48.05,72584,3497,91,57,6.81,31.62,21.01
Capsicum,Loamy,Kharif,Canal,6.0,6.7,217,133,129,17.91,111498,31255,85,31,8.3,34.65,29.95
Cotton,Red,Zaid,Rainfed,6.4,6.9,174,100,61,3.41,54565,57987,81,43,6.59,34.86,20.85
Wheat,Red,Rabi,Drip,6.2,7.7,122,53,43,3.5,43881,25536,77,34,6.06,20.82,23.5
Maize,Sandy,Rabi,Drip,6.0,6.6,120,78,60,5.18,42734,14871,71,53,6.46,29.89,18.43
Wheat,Sandy,Kharif,Sprinkler,5.5,6.9,109,54,50,2.87,37745,22608,63,60,7.04,23.3,28.3
Wheat,Black,Rabi,Sprinkler,6.4,7.1,137,58,40,2.58,34159,22148,82,51,6.09,20.09,26.6
Maize,Red,Rabi,Drip,5.6,7.3,142,59,64,6.66,30199,14496,81,20,7.38,32.24,24.05
Soybean,Black,Kharif,Canal,6.1,7.1,87,91,67,1.52,37539,48654,87,23,8.49,27.42,27.62
Tomato,Clay,Zaid,Drip,5.9,7.5,220,74,95,23.87,84372,10418,61,26,8.87,29.12,24.95
Capsicum,Sandy,Kharif,Canal,6.4,7.4,213,81,122,28.84,78309,49813,68,34,5.57,27.73,27.22
Wheat,Sandy,Zaid,Rainfed,5.9,6.8,100,60,65,4.38,35709,24678,87,51,6.84,29.16,21.53
Groundnut,Sandy,Rabi,Canal,6.1,7.1,68,84,95,2.07,46275,62368,68,52,5.02,27.9,22.48
Cotton,Red,Rabi,Rainfed,6.5,7.0,182,62,87,2.77,47556,60567,86,54,8.89,22.47,29.59
Tomato,Red,Kharif,Canal,6.1,7.5,193,73,70,35.43,83840,15130,92,20,6.62,21.78,20.91
Soybean,Black,Zaid,Canal,5.7,7.7,88,99,63,2.81,44815,52839,64,31,7.69,24.92,25.28
Capsicum,Black,Zaid,Drip,5.7,7.4,203,111,113,14.23,116864,21269,76,24,6.71,24.32,22.55
Capsicum,Black,Kharif,Canal,6.1,7.6,170,123,119,25.81,113842,33631,75,29,5.4,24.94,17.15
Capsicum,Sandy,Zaid,Drip,5.7,7.6,167,111,101,18.89,117556,43740,67,28,7.29,32.67,16.46
Soybean,Clay,Rabi,Rainfed,5.9,7.4,76,88,79,2.0,39458,45934,73,37,5.72,26.51,19.94
Soybean,Loamy,Zaid,Sprinkler,5.7,6.8,52,69,52,1.91,33920,53862,65,23,5.1,20.43,25.06
Capsicum,Loamy,Zaid,Canal,5.8,6.9,216,83,99,28.32,89865,30578,61,38,6.21,29.74,27.82
Rice,Sandy,Zaid,Sprinkler,5.7,7.3,148,64,53,3.98,39441,18192,60,32,6.52,24.15,26.84
Cotton,Sandy,Rabi,Canal,6.1,7.7,171,75,77,1.99,69710,74895,94,21,6.76,30.79,15.72
Rice,Red,Rabi,Drip,5.9,7.0,135,66,64,4.0,39811,23863,89,29,5.32,27.82,17.67
Rice,Sandy,Kharif,Canal,6.0,7.7,108,49,58,3.15,48827,19155,78,36,6.61,29.58,26.8
Cotton,Black,Zaid,Sprinkler,6.0,6.8,153,82,63,2.53,51283,72899,86,47,5.74,29.31,16.36
Groundnut,Red,Zaid,Sprinkler,6.0,7.5,59,77,100,1.39,34440,56181,60,59,5.65,26.91,18.78
Rice,Black,Rabi,Canal,6.5,7.2,117,56,58,5.37,45737,20303,78,40,8.01,30.89,20.26
Capsicum,Red,Rabi,Drip,6.3,6.6,165,93,110,18.0,100636,43607,88,38,7.89,25.14,27.42
Potato,Red,Kharif,Sprinkler,6.0,7.7,216,100,95,20.64,52157,13941,92,52,8.02,25.66,23.72
Potato,Black,Rabi,Sprinkler,6.3,7.0,191,134,104,12.73,48940,15992,70,42,7.52,32.07,20.57
Soybean,Clay,Zaid,Drip,6.1,7.6,80,95,76,1.75,41985,53155,65,54,8.34,30.33,28.94
Potato,Black,Kharif,Canal,6.1,7.2,244,126,126,22.43,76367,13564,71,41,5.06,31.71,29.06
Cotton,Loamy,Rabi,Sprinkler,5.9,6.9,151,93,99,3.36,52171,77746,88,37,8.54,33.45,25.89
Groundnut,Sandy,Rabi,Drip,5.9,7.1,59,94,63,2.41,44974,43715,64,59,6.04,32.58,25.0
Soybean,Clay,Zaid,Drip,5.7,7.6,74,62,79,1.97,35383,38701,85,52,8.67,22.03,19.06
Tomato,Red,Rabi,Sprinkler,6.2,7.0,216,98,97,20.4,57792,12021,70,31,8.8,33.86,23.84
Rice,Black,Rabi,Drip,6.3,7.5,147,56,68,5.65,49591,22368,74,52,6.14,25.15,16.77
Groundnut,Sandy,Zaid,Rainfed,5.8,7.2,55,86,78,1.43,46244,47207,70,56,6.72,20.84,24.79
Rice,Loamy,Zaid,Sprinkler,6.2,7.4,132,43,49,3.31,52771,16050,79,56,8.11,32.95,25.43
Soybean,Black,Rabi,Canal,5.5,7.3,68,83,69,2.84,36101,52731,90,36,5.58,24.69,18.07
Sugarcane,Sandy,Zaid,Drip,6.1,7.4,269,126,102,40.11,73725,3124,84,43,8.88,33.57,15.18
Potato,Red,Rabi,Drip,5.7,6.6,229,110,139,14.39,60214,18012,79,22,8.04,33.22,18.21
Rice,Loamy,Zaid,Drip,5.9,6.6,114,69,60,5.91,45649,18263,82,21,6.15,29.77,28.83
Rice,Black,Rabi,Sprinkler,5.8,7.5,122,73,64,5.22,42779,16219,84,44,5.08,31.2,29.49
Soybean,Red,Rabi,Canal,6.3,7.4,77,69,74,2.36,29755,46673,89,27,6.34,31.77,23.53
Soybean,Black,Rabi,Drip,5.7,7.0,72,74,40,1.82,32505,53488,91,26,8.35,32.33,22.71
Rice,Red,Kharif,Rainfed,5.6,7.6,121,43,66,3.89,48103,20649,64,30,6.66,27.54,27.21
Capsicum,Sandy,Kharif,Canal,6.2,7.4,191,131,92,10.72,110526,38007,84,53,6.27,30.42,29.19
Tomato,Black,Rabi,Rainfed,5.6,6.7,181,88,78,27.42,52800,17640,85,32,6.28,25.45,19.42
Wheat,Loamy,Kharif,Canal,6.2,7.1,93,61,48,3.29,45421,19062,88,54,7.32,30.31,22.01
Capsicum,Black,Kharif,Sprinkler,6.1,7.3,193,132,117,14.71,99830,47254,63,22,7.86,23.9,17.26
Wheat,Black,Kharif,Drip,6.2,7.5,113,44,48,3.76,31363,23528,62,44,8.24,31.1,23.9
Wheat,Sandy,Rabi,Drip,6.0,7.1,117,63,59,3.99,48186,20420,68,56,7.02,21.85,25.96
Sugarcane,Black,Zaid,Rainfed,6.1,6.5,227,105,132,49.01,74380,3750,67,30,6.72,27.98,26.23
Groundnut,Sandy,Rabi,Drip,6.4,7.0,56,63,64,2.5,41319,48623,75,38,8.08,21.3,19.24
Capsicum,Clay,Zaid,Sprinkler,5.6,7.3,237,89,97,28.89,99601,33126,75,45,6.83,30.52,25.29
Capsicum,Red,Zaid,Rainfed,5.7,7.5,235,138,137,17.54,94097,34437,87,26,7.52,29.14,22.71
Rice,Red,Kharif,Drip,5.6,7.7,124,71,53,2.73,44441,20082,93,26,7.11,26.03,18.77
Rice,Clay,Zaid,Rainfed,5.9,6.7,148,57,53,4.54,43348,23687,67,48,8.8,23.37,20.75
Soybean,Loamy,Rabi,Rainfed,6.1,7.4,52,84,55,1.59,34909,51175,65,29,5.13,22.48,26.41
Groundnut,Loamy,Zaid,Rainfed,6.4,6.9,72,100,64,2.29,42651,53601,62,56,8.92,21.07,29.61
Cotton,Clay,Rabi,Drip,5.8,6.8,161,98,72,2.9,51939,53156,70,28,8.89,31.11,28.0
Cotton,Sandy,Kharif,Canal,5.9,7.5,177,97,68,1.82,60273,73340,86,24,6.68,34.39,23.54
Soybean,Black,Zaid,Canal,5.6,6.7,68,100,66,1.57,25692,53622,65,52,6.59,33.25,20.03
Potato,Red,Rabi,Sprinkler,5.6,7.6,185,127,105,19.49,75964,17473,85,23,6.77,30.35,26.92
Groundnut,Loamy,Rabi,Drip,6.5,6.6,67,89,61,2.92,33252,54213,89,47,8.16,30.06,23.42
Potato,Black,Rabi,Drip,6.1,7.7,258,94,85,21.76,69540,19202,66,26,6.4,27.32,16.97
Rice,Sandy,Zaid,Sprinkler,6.3,6.7,120,49,51,4.28,37402,19211,74,25,8.22,27.85,18.16
Wheat,Sandy,Rabi,Rainfed,5.6,6.9,139,51,49,4.28,34233,23310,84,48,6.66,24.45,17.67
Tomato,Sandy,Zaid,Canal,6.1,7.4,180,70,101,39.9,50436,14417,76,45,7.08,29.97,18.88
Cotton,Red,Zaid,Canal,5.6,7.1,159,95,76,2.67,55316,73471,66,42,8.27,22.64,17.07
Rice,Red,Kharif,Canal,6.5,6.9,150,70,80,5.17,41424,20706,70,58,6.5,25.03,15.56
Wheat,Red,Zaid,Canal,5.6,7.7,95,55,46,2.95,47614,20031,87,31,8.17,28.02,24.7
Rice,Sandy,Kharif,Sprinkler,6.4,7.1,140,67,51,2.56,52420,16828,86,52,6.45,26.97,29.28
Tomato,Sandy,Kharif,Sprinkler,5.5,7.3,195,91,80,29.72,57826,12775,65,25,5.95,32.86,23.16
Wheat,Sandy,Zaid,Rainfed,6.3,7.1,133,46,52,4.5,41021,25708,76,36,5.32,29.92,26.49
Soybean,Clay,Rabi,Canal,5.8,7.0,78,71,64,1.93,27211,50467,62,40,8.36,29.7,21.39
Sugarcane,Sandy,Rabi,Sprinkler,6.3,6.8,276,97,133,44.3,75855,3525,82,30,7.28,33.4,26.32
Cotton,Red,Zaid,Canal,5.8,7.0,149,70,80,2.06,68522,71024,90,43,6.57,22.39,24.33
Cotton,Clay,Rabi,Canal,5.8,7.7,184,82,69,2.69,56104,55498,81,38,7.65,23.05,18.34
Rice,Clay,Rabi,Drip,5.7,7.5,100,59,56,4.95,39158,19770,77,53,7.16,28.98,19.4
Soybean,Red,Zaid,Drip,5.7,6.6,57,63,52,1.97,44657,43064,84,37,5.9,26.56,26.46
Wheat,Red,Rabi,Rainfed,6.3,6.8,110,52,44,3.96,34957,23967,71,41,6.96,28.02,20.31
Tomato,Sandy,Zaid,Drip,6.1,6.9,237,72,72,37.28,74156,8478,89,47,6.57,21.64,26.01
Soybean,Black,Rabi,Rainfed,5.6,6.6,59,86,69,1.85,35163,38812,85,58,7.6,28.02,19.09
Cotton,Black,Zaid,Canal,6.4,7.6,192,61,66,3.16,46570,67992,60,36,6.4,30.39,25.22
Maize,Loamy,Kharif,Drip,6.2,7.6,172,59,43,3.24,30452,21934,93,36,8.29,34.02,16.06
Cotton,Loamy,Rabi,Canal,5.8,7.5,152,95,60,2.05,60463,69029,76,52,6.92,25.33,23.53
Capsicum,Sandy,Rabi,Drip,6.4,7.5,170,107,86,28.37,66907,41233,77,23,6.59,26.95,26.27
Soybean,Red,Zaid,Drip,6.5,7.0,72,99,52,2.48,28717,37922,62,30,7.45,29.38,27.27
Sugarcane,Red,Rabi,Rainfed,5.9,7.0,240,114,90,27.86,69928,2938,61,23,6.27,24.29,25.41
Rice,Sandy,Rabi,Rainfed,5.5,6.7,127,68,62,3.92,56378,22588,84,56,5.69,21.72,24.72
Potato,Sandy,Rabi,Drip,6.4,7.3,245,83,100,28.61,58717,13004,62,59,6.1,28.77,29.07
Maize,Red,Rabi,Sprinkler,6.3,7.3,152,59,73,6.09,35929,18027,79,46,6.56,28.67,24.35
Wheat,Sandy,Zaid,Drip,6.4,6.5,112,54,51,4.3,46546,23069,79,44,6.71,32.83,25.63
Sugarcane,Sandy,Kharif,Sprinkler,6.4,7.6,298,84,80,54.19,90660,4051,67,59,7.42,22.34,24.15
Potato,Loamy,Rabi,Canal,6.1,7.4,191,89,127,19.84,75364,18583,79,28,8.38,21.54,26.27
Sugarcane,Sandy,Zaid,Sprinkler,6.5,7.1,300,125,117,47.47,91736,2954,90,24,7.78,34.64,18.28
Soybean,Loamy,Rabi,Canal,6.0,6.9,68,63,60,2.43,25879,35685,91,30,7.14,26.33,24.93
Groundnut,Black,Rabi,Drip,6.0,7.3,51,89,70,1.35,37346,46426,73,29,7.24,28.14,19.32
Groundnut,Clay,Zaid,Rainfed,5.8,6.8,42,67,100,2.02,38255,57264,94,39,5.48,32.38,21.57
Soybean,Clay,Zaid,Sprinkler,6.4,7.4,84,85,57,2.8,39121,42881,87,25,6.68,24.65,16.38
Groundnut,Black,Zaid,Sprinkler,5.6,7.4,45,82,93,2.42,42436,55267,81,55,6.58,22.91,20.94
Tomato,Sandy,Zaid,Sprinkler,5.6,6.6,206,71,77,25.12,66157,13611,67,43,8.76,29.78,28.41
Sugarcane,Black,Rabi,Rainfed,5.7,7.3,229,92,85,25.1,77022,4101,74,49,5.59,32.67,26.3
Wheat,Black,Zaid,Drip,6.2,6.5,108,46,47,3.08,43188,21848,83,21,7.75,22.92,24.21
Tomato,Loamy,Rabi,Rainfed,5.5,7.4,173,119,114,32.85,86545,15597,68,47,8.42,23.67,25.16
Capsicum,Loamy,Rabi,Rainfed,6.1,7.4,228,112,114,14.51,101950,23294,65,55,7.76,33.11,16.11
Groundnut,Sandy,Zaid,Drip,6.3,7.4,74,88,94,2.4,46621,47702,67,43,8.48,21.29,19.53
Potato,Clay,Kharif,Drip,6.4,7.5,256,101,118,17.85,47195,16345,80,40,6.46,32.8,15.32
Wheat,Black,Zaid,Sprinkler,5.8,7.5,134,45,65,3.8,47059,22101,94,22,5.28,28.49,26.18
Rice,Sandy,Rabi,Sprinkler,5.7,7.3,126,63,78,2.98,44099,17622,67,47,8.08,26.71,17.24
Cotton,Sandy,Rabi,Drip,5.9,6.8,155,70,92,2.12,57979,50227,79,32,7.71,20.47,22.36
Soybean,Red,Kharif,Canal,6.2,6.5,63,89,78,2.9,39395,48979,90,35,6.46,30.72,23.57
